1	17	40	5	148	56	916	779	38	481	779	51	203	9	4	154																					
2	41	141	46	206	47	50	166	53	494	48	971	85	133	21	58	89	41	26	556	237	43	823	867	472	38	32	52	86	127	203						
3	16	7	152	18	202	51	20	674	430	30	823	118																								
4	37	37	183	373	117	65	916	52	68	28	30	101	136	151	120	273	168	41	51	43	35	31	44	450	378	26										
5	37	112	161	134	87	812	51	23	25	534	37	483	42	100	237	135	28	50	21	29	43	80	71	158	197											
6	44	198	760	144	42	137	36	26	965	122	35	190	373	273	76	916	49	41	21	27	136	54	43	30	867	22	831	155	20	39	44	120				
7	50	160	30	46	105	916	44	45	21	710	38	16	273	140	8	150	916	29	24	542	858	131	67	304	112	677	31	674	22	373						
8	14	164	99	139	103	378	916	35	43																											
9	29	159	33	28	92	42	53	47	674	50	176	179	108	102	157	30	51	27	32	90	45	46	34	534												
10	47	109	146	38	186	26	540	24	47	28	166	293	195	5	3	97	106	49	43	22	40	823	481													
11	49	163	1	28	39	35	44	51	23	916	49	24	47	126	43	199	113	30	54	32	20	53	85	273	136											
12	23	123	171	63	181	50	39	33	23	27	159	105	91	118	32	51	24	430																		
13	34	81	165	143	9	373	33	40	38	21	48	824	60	56	450	34	28	25	52	29	779	31														
14	47	147	145	149	133	132	23	35	47	49	48	197	471	50	916	677	699	34	779	12																
15	38	88	54	167	49	30	25	22	20	373	202	76	32	44	40	136	916	39	542	273	916	105														
16	24	204	192	182	101	27	824	32	965	34	48	28	65	16	824	24	36	293																		
17	19	119	61	107	29	25	40	22	34	273	674	237	71	27	699	47	43																			
18	20	170	172	178	35	113	929	373	471	41	37	867	42																							
19	13	13	69	40	160	760	28	824	26	32	34	674																								
20	16	66	130	41	189	867	472	52	35	49	27	556	46	24	40																					
21	42	142	24	62	176	556	450	33	38	48	534	90	46	823	525	37	36	41	273	44	25	42	202	121	22	242	49	542								
22	38	104	73	10	186	40	31	25	717	42	867	146	916	49	540	29	53	22	472	43	242															
23	25	125	53	6	23	273	45	47	165	273	183	26	25	42	52	44	53	35	41	31	176															
24	20	120	205	165	91	28	42	49	677	22	39	677	430	823	542	965	202																			
25	33	183	72	185	110	25	542	784	35	26	179	196	23	542	42	27	50	29	49	47	37	38	65													
26	22	59	114	19	129	717	28	44	33	699	38	195	77	37	273	29	52	71																		
27	46	196	169	74	79	50	32	42	39	51	28	126	207	483	31	41	49	33	23	21	48	51	542	824	37	958	273	111	2							
28	27	77	15	83	29	674	47	52	23	50	134	158	31	24	28	20	52	48	34	43	27	824														
29	23	207	188	175	94	52	166	22	699	47	12	36	734	31	53	46	24	44																		
30	31	158	132	32	831	48	26	858	52	105	22	542	23	779	46	30	430	28	42																	
31	36	36	20	174	47	34	45	784	699	78	494	1	32	35	30	48	44	26	39	31	4	178	170	159	33	42	113	37	929							
32	22	22	187	177	200	93	50	181	44	46	33	430	717	823	525	21																				
33	28	78	201	75	43	21	32	45	39	20	48	202	186	472	9	200	50	44	494	858	120	29	162													
34	43	93	55	64	124	48	43	41	25	293	65	23	24	133	46	37	525	45	36	237	784	117														
35	43	193	82	121	194	113	53	49	124	22	31	823	779	33	471	136	80	734	165	42	110	47	101	52	35	26	40	38	32	48	137	971				
36	14	14	95	179	111	41	42	710	91	784																										
37	48	98	2	195	156	30	971	542	958	35	23	67	129	34	111	37	29	273	21	824	32	131	823	162	858	202	20	44	45	120	50	39	494	200	201	43
38	15	115	116	126	128	44	36	166	25	29	46	103	79	32																						
39	11	11	113	134	86	867	45	112	27																											
40	34	34	127	12	203	27	47	136	32	22	42	146	94	31	189	86	779	472	48	52	40	45	38	831												
