2	30	47	10
8	9	7	23
23	37	29	43
2	40	24	6
3	19	26	10
9	16	23	27
25	34	28	50
27	37	34	13
3	12	16	49
13	40	50	22
24	40	35	15
6	19	26	20
6	26	9	14
1	21	39	19
10	14	43	41
12	39	40	19
1	11	24	6
15	25	6	17
24	39	36	16
7	22	27	21
10	27	50	10
26	36	30	29
30	40	4	19
3	10	15	41
3	17	27	38
1	36	12	16
3	21	14	27
9	24	18	10
9	21	36	12
10	12	25	30
30	35	28	23
2	31	9	43
3	34	5	1
2	20	27	42
13	30	3	24
20	29	41	2
6	7	26	21
17	37	26	28
11	24	6	12
2	18	38	18
3	8	43	30
7	9	29	29
23	24	21	10
17	39	20	4
19	33	6	25
21	24	30	27
31	35	48	30
11	29	4	45
22	36	24	22
2	10	45	7
12	16	25	32
2	19	21	6
14	30	24	44
15	32	17	29
25	38	21	20
12	27	24	39
13	14	30	27
23	32	31	17
3	20	30	44
3	18	25	16
17	30	8	14
6	27	25	33
16	22	39	1
16	27	12	21
18	39	40	11
19	29	29	7
20	27	10	19
25	26	1	22
31	32	15	6
4	10	11	39
17	33	27	30
3	23	28	9
3	25	33	13
20	25	20	4
2	28	12	15
14	25	19	24
8	11	5	13
18	26	22	25
14	27	26	26
16	36	48	35
3	24	30	24
20	22	23	27
24	27	29	30
24	28	23	21
3	13	48	28
13	15	49	11
21	30	4	23
10	13	27	11
30	31	29	24
3	5	44	17
5	28	23	8
14	15	30	12
4	27	10	29
3	39	30	11
1	22	17	3
2	33	3	19
3	31	43	17
17	20	10	47
19	24	13	15
32	37	34	34
3	30	9	29
4	13	19	24
22	27	4	17
22	33	12	5
11	21	31	31
9	40	13	29
23	25	16	20
3	7	37	14
4	23	14	4
4	25	22	25
6	25	16	12
9	10	26	8
28	35	46	2
2	24	28	18
3	37	19	16
26	38	34	3
4	6	7	26
17	35	11	25
3	32	40	50
10	25	14	21
19	22	14	26
32	33	23	29
11	17	19	19
29	36	26	16
5	30	23	17
12	29	15	19
22	32	33	6
8	15	25	47
16	18	17	23
24	35	1	21
35	40	23	14
2	12	50	2
3	29	17	9
8	13	45	12
24	31	8	43
2	26	22	13
23	31	28	16
5	19	20	46
13	36	24	24
14	26	27	8
7	40	12	38
5	39	15	37
36	39	20	32
5	15	16	29
15	33	29	31
1	13	21	25
18	33	22	5
18	38	26	28
28	31	42	1
33	36	10	19
2	8	5	40
19	31	15	1
24	38	18	16
33	39	42	29
5	17	49	48
7	27	19	23
9	23	24	26
11	22	29	23
11	28	12	5
2	15	15	42
7	34	22	16
3	22	3	40
16	34	1	26
25	33	25	8
5	34	10	36
5	23	46	18
14	29	13	18
23	29	27	11
3	38	17	49
16	29	11	7
3	6	22	4
6	12	29	27
16	37	5	22
5	11	2	9
1	14	37	7
20	28	41	22
31	34	6	32
3	16	16	15
18	40	6	13
21	31	15	24
4	26	26	26
20	23	15	48
33	37	11	36
4	17	2	28
13	37	6	24
3	28	20	40
26	29	10	27
7	11	24	33
7	24	10	19
10	36	42	21
16	38	13	2
9	39	23	12
5	12	1	28
11	16	18	15
28	29	10	14
5	9	11	36
26	30	7	3
11	38	16	7
1	5	32	27
12	15	21	20
8	38	21	20
3	4	2	17
5	8	2	10
9	17	7	35
15	22	14	48
9	25	13	20
26	32	19	44
3	33	17	18
24	32	11	28
12	18	11	22
16	28	20	45
26	28	14	46
13	21	29	6
18	27	8	37
24	29	7	24
18	25	16	20
18	30	19	23
4	16	41	14
20	39	9	28
30	38	31	16
5	7	13	15
8	10	10	25
22	25	44	30
3	35	14	8
11	15	49	5
7	30	20	30
8	12	32	20
12	14	19	32
13	29	21	50
1	34	30	30
3	11	27	13
11	33	12	3
28	36	25	41
5	29	38	21
7	15	8	19
9	36	18	9
7	20	13	16
9	31	4	25
11	35	17	34
21	25	9	22
28	30	27	22
12	23	17	17
15	16	48	47
2	6	18	14
9	11	18	28
12	24	22	15
27	28	3	49
3	36	20	46
27	38	25	18
1	37	22	26
14	28	11	23
20	30	28	30
20	40	35	45
7	23	28	13
10	29	46	18
11	39	8	11
23	34	23	42
29	35	43	44
11	30	42	18
30	33	10	13
6	40	47	25
7	37	44	34
10	30	23	23
1	4	45	9
8	26	21	10
28	32	28	29
34	38	8	7
10	24	28	26
11	19	18	12
21	35	47	22
11	14	20	11
13	33	16	14
